id,sentence_index,tag,answer
1,1,F1,halo yayan terima kasih atas tanya
1,2,F4,dasar riwayat keluh istri yaitu muntah muntah diare lebih dapat mungkin kondisi alami istri anda salah satu racun makan infeksi salur cerna malapsorbsi intoleransi makan tanda gejala gejala yang anda sebut sebut
1,3,F3,gejala muntah diare dasar rupa respon tubuh wajar bagaimana tubuh usaha keluar toksin racun makan minum kontaminasi konsumsi
1,4,F3,kondisi dapat baik sendiri hitung beberapa hari perlu obat khusus dokter
1,5,F5,pantau terus gejala muncul cair tubuh keluar monitor tanda tanda dehidrasi lemas mata cowong buang air kecil lebih jam urin warna pekat mulut kering rasa sangat haus ada tanda tanda bingung
1,6,F5,itu ikut anjur dapat laku kurang keluh hindar makan lebih lama beberapa jam
1,7,F5,minum air sup minum elektrolit bantu cair keluar tubuh istri
1,8,F5,makan makan sedikit sedikit makan tawar roti roti nasi bubur biskuit
1,9,F5,istirahat cukup
1,10,F5,hindar susu produk susu kopi minum soda makan asam pedas lemak lebih
1,11,F5,apabila gejala baik waktu hari terus muntah diare dapat darah dalam demam lemas langsung hubung tugas fasilitas layan sehat dekat
1,12,F1,moga informasi dapat bantu moga lekas sembuh
1,13,F1,salam
2,1,F1,halo
2,2,F1,terima kasih atas tanya sampai alodokter
2,3,F1,dapat paham khawatir anda rasa
2,4,F3,siklus menstruasi awal lepas sel telur indung telur rahim ikut tebal dinding rahim siap tempel hasil fertilisasi buah sel telur sperma
2,5,F3,bila sel telur buah sperma dinding rahim luruh keluar lalu vagina bentuk darah sel sel rusak
2,6,F3,siklus menstruasi biasa langsung tiap hari haid langsung lama hari volume darah haid kisar ml tara balut hari
2,7,F4,tutup mungkin gejala ketidakteraturan menstruasi anda alami rupa bentuk ganggu haid
2,8,F3,beberapa mungkin bentuk ganggu haid sering lain metroragia darah haid interval antarhaidnya tak atur
2,9,F3,menometroragia tingkat volume durasi darah haid serta interval antarhaid tidak atur
2,10,F3,hipermenorea menoragia tingkat volume darah haid lebih ml darah hari atau panjang durasi haid lebih hari dengan interval antarhaid tetap normal
2,11,F3,banyak mungkin ganggu haid liput masalah organ reproduksi rahim leher rahim salur tuba falopi indung telur masuk sindrom polikistik ovarium
2,12,F3,faktor faktor di luar sistem organ reproduksi liput ganggu hormonal efek samping obat ganggu beku darah stres episode depresi
2,13,F5,kondisi dapat evaluasi tangan cara tepat saran untuk periksa diri cara langsung dokter spesialis bidan kandung
2,14,F5,anamnesis periksa fisis dokter mungkin saran periksa tunjang bila temu indikasi misal ultrasonografi usg kandung periksa darah ct scan
2,15,F5,bantu reda keluh saran laku langkah langkah sederhana ikut istirahat cukup
2,16,F5,jaga berat badan rentang normal makan makan gizi imbang cara atur
2,17,F5,rutin laku latih fisik olahraga
2,18,F5,minum air putih paling gelas hari manajemen stres baik
2,19,F5,kaya wawas dapat baca artikel ganggu menstruasi
2,20,F1,informasi kami
2,21,F1,mudah mudah senantiasa sehat
2,22,F1,moga manfaat
3,1,F1,selamat pagi terima kasih atas tanya
3,2,F3,reumatoid artritis ra rupa sakit autoimun mana sistem kebal tubuh serang sendi sebab adang kronis
3,3,F3,obat anti inflamasi kortikosteroud nonsteroid untuk kendali gejala ra
3,4,F3,untuk kontrol kembang sakit perlu beri obat golong disease modifying antirheumatic drugs dmards metotreksat
3,5,F3,rupa obat utama terapi ra
3,6,F3,dmards pengaruh kembang sakit butuh waktu bulan lama dapat respon terapi penuh
3,7,F3,guna metotreksat bawah monitoring dokter dalam jangka waktu panjang akibat ganggu bagai organ turun fungsi hati ginjal
3,8,F3,beri dmards baik laku diagnosis kembang parah sakit pasti tidak semua pasien beri
3,9,F3,umum tahap awal beri anti inflamasi non steroid kemudian laku evaluasi respon obat
3,10,F5,laku konsultasi dokter dapat terapi tepat sesuai kondisi medis
3,11,F1,sekian moga bantu wassalam
4,1,F1,halo friscilla terima kasih sudah tanya alodokter
4,2,F4,baca keluh anda alami keluh sebut memang saja efek samping suplemen anda konsumsi utama suplemen sebut bukan rekomendasi dokter belum banyak teliti jelas kena suplemen sebut dapat sebab oleh beberapa mungkin kondisi seperti radang usus irritable bowel syndrome ibs infeksi salur cerna sindrom dispepsia
4,3,F5,ini sangat saran henti lebih konsumsi suplemen tambah nafsu makan sebut memang bukan saran dokter alih ubah pola pikir pandang makan hari hari
4,4,F5,boleh konsumsi makan enak sekal untuk picu nafsu makan tetapi tetap imbang makan sehat tiap hari utama asupan sayur buah
4,5,F5,atas keluh anda saja konsumsi obat diare khusus madat tinja sesuai dosis ada kemas imbang hindar makan sekira dpat iritasi salur cerna makan asam pedas
4,6,F5,itu saran selalu jaga bersih makan minum alat makan tiap hari untuk menghindrai jadi infeksi salur cerna laku olahraga cara rutin minimal menit per hari sesuai mampu dan kelola stres baik
4,7,F1,moga bantu
5,1,F1,halo terima kasih atas tanya alodokter
5,2,F3,dasar masalah lambung macam macam jenis
5,3,F3,bila anda maksud sakit asam lambung gerd umum nyeri rasa nyeri ulu hati rasa bakar dada
5,4,F3,ganggu lambung jarang timbul nyeri hingga punggung tidak timbul nyeri tengkuk leher belakang
5,5,F3,ganggu pankreas salur empedu mungkin nyeri jalar punggung kadang bisa bahu juga namun biasa akan rasa hingga ke leher belakang
5,6,F5,baik coba cerita lebih jelas gejala gejala apa yang alami kami analis lebih lanjut mungkin mungkin
5,7,F5,diagnosis sakit benar perlu laku anamnesis wawancara medis dalam juga periksa fisik periksa tunjang
5,8,F3,di masa pandemi virus corona sekarang harap tidak pergi dokter dalam yang benar benar desak
5,9,F3,bila alami gejala gejala sakit asam lambung misal rasa mual kembung nyeri ulu hati rasa panas dada rasa ganjal tenggorok
5,10,F5,ikut adalah beberapa yang coba laku makan lebih sedikit sedikit lebih sering kunyah makan anda hingga halus baru telan
5,11,F5,hindar makan terlalu banyak hindar baring makan
5,12,F5,tinggi sandar kepala saat tidur
5,13,F5,hindar makan makan terlalu lemak minyak terlalu pedas terlalu asam hindar makan maknana banyak hasil gas sementara waktu
5,14,F5,hindar rokok minum alkohol juga kopi
5,15,F5,turun berat badan bila berat badan lebih
5,16,F1,sekian informasi saya moga cukup jawab
6,1,F1,halo saudara eva
6,2,F3,beri makan damping asi mpasi terlalu dini anak milik banyak dampak anak
6,3,F3,beberapa risiko dapat jadi apabila beri terlalu dini ada risiko aspirasi masuk makan jalan nafas bayi bayi dapat asupan makan cukup tidak milik daya tahan tubuh bagus risiko lebih berat badan ganggu cerna bayi necrotizing enterocolitis rusa usus halus intoleransi laktosa alergi susu sapi bagai
6,4,F3,ini bayi perlu waktu dapat fungsi cerna bagus diri
6,5,F3,apabila beri terlalu dini organ cerna akan mampu olah makan sebut dampak buruk bayi
6,6,F3,hati hati apabila bayi terus rewel menang bab darah perut kembung mencret lemas
6,7,F3,ini jadi tanda jadi bagi bayi
6,8,F3,guna asi asi makan utama bayi bawah bulan
6,9,F3,asi milik banyak manfaat ibu bayi
6,10,F3,ibu asi tingkat bounding bayi ibu hambat subur dapat bagai kontrasepsi alami murah tidak perlu biaya
6,11,F3,sedang bayi asi tingkat sistem kebal tubuh berat badan ideal tulang lebih kuat
6,12,F5,beri asi eksklusif lama bulan baru beri makan damping asi
6,13,F5,dapat baca link ikut tambah wawas urut beri makan damping asi anak
6,14,F1,moga manfaat terima kasih
7,1,F1,halo terima kasih atas tanya alodokter
7,2,F3,obat prednicort milik kandung aktif methylprednisolone masuk golong obat kortikosteroid
7,3,F3,golong obat kerja tekan sistem kebal tubuh kurang reaksi adang gejala bengkak nyeri ruam
7,4,F6,obat memang milik efek samping salah satu sistem cerna mual muntah nyeri daerah ulu hati
7,5,F6,jadi baik obat konsumsi jam makan kurang efek samping sebut
7,6,F3,obat alloris milik kandung aktif loratadine masuk golong obat antihistamin dapat reda gejala alergi bersin bersin ruam kulit pilek akibat papar alergen debu lain bagai
7,7,F6,loratadine biasa timbul efek lelah antuk
7,8,F6,jadi baik bila konsumsi obat hindar pergi utama bila kendara kendara motor sendiri
7,9,F3,obat konsumsi benar rupa obat simptomatik arti henti bila dosis beri dokter anda penuh gejala timbul sudah hilang
7,10,F3,jadi perlu konsumsi cara terus terus
7,11,F5,keluh lambung mungkin oleh obat kandung kortikosteroid jadi baik konsumsi atau sama makan meminimalisir efek samping sebut
7,12,F1,sekian informasi dapat sampai
7,13,F1,moga manfaat dr winda indriati
8,1,F1,halo jovan
8,2,F3,hitung usia hamil bukan tanggal meni hitung hari pertama menstruasi akhir hpmt
8,3,F3,bagai contoh orang meni tanggal november hpmt nya tanggal november hamil hitung sejak november
8,4,F3,contoh wanita baru meni minggu saja kata hamil minggu hitung turut hpmt bukan turut tanggal meni
8,5,F3,sebut normal
8,6,F3,salin normal sendiri jadi usia hamil minggu toleransi waktu minggu
8,7,F3,sedang hari kira lahir hpl hitung lalu rumus hpmt minggu
8,8,F3,bagai contoh orang hpl nya november saja lahir cara normal minggu hpl nya
8,9,F3,demikian tidak simpul jawab tanya karena data beri kurang lengkap
8,10,F5,bisa coba hitung hpl usia hamil teman dengan kalkulator hamil banyak sedia internet misal klik sini
8,11,F5,ikut artikel hubung topik tanya hitung usia hamil
8,12,F1,terima kasih moga bantu dr devika y
9,1,F1,terima kasih rahmadina atas tanya
9,2,F2,jatuh sudah jadi tahun lalu
